question_id,section,domain,skill,difficulty_1_10,question_type,passage_or_prompt,question,choice_a,choice_b,choice_c,choice_d,estimated_time_sec,target_score_band,source_type,correct_answer,correct_choice_text,explanation,common_trap,primary_error_tag,secondary_error_tag
M-053,Math,Advanced Math,Exponential growth,7,Multiple choice,,"A bacteria culture doubles every 3 hours. If it starts with 120 bacteria, how many bacteria will there be after 9 hours?",360,480,960,"1,920",60,1450+,original_sat_style,C,960,"Nine hours is three doubling periods, so multiply by 2^3 = 8. Then 120 × 8 = 960.",Choice D comes from mistakenly treating 9 hours as four doubling periods.,exponential_growth,repeated_multiplication
M-054,Math,Advanced Math,Polynomial operations,7,Multiple choice,,What is (2x - 3)(x + 5)?,2x^2 + 7x - 15,2x^2 + 10x - 3,2x^2 - 7x - 15,2x^2 + 13x + 15,60,1450+,original_sat_style,A,2x^2 + 7x - 15,"Multiply each term: 2x·x = 2x^2, 2x·5 = 10x, -3·x = -3x, and -3·5 = -15. Combine like terms: 2x^2 + 7x - 15.",Choice B forgets to combine the middle terms correctly.,polynomial_multiplication,FOIL
M-055,Math,Advanced Math,Rational equations,8,Multiple choice,,Solve for x: 3/x = 12/(x + 6),x = 2,x = 3,x = 6,x = 8,75,1450+,original_sat_style,A,x = 2,"Cross-multiply: 3(x + 6) = 12x. Then 3x + 18 = 12x, so 18 = 9x and x = 2. This value is allowed because x cannot be 0 or -6.",A common mistake is to forget the restricted values or to subtract 3x incorrectly.,cross_multiplication,restricted_values
M-056,Math,Advanced Math,Radical equations,8,Multiple choice,,Solve for x: √(x + 9) = x - 3,5,6,7,9,90,1450+,original_sat_style,C,7,"Because the right side must be nonnegative, x ≥ 3. Square both sides: x + 9 = (x - 3)^2 = x^2 - 6x + 9. Rearranging gives x^2 - 7x = 0, so x = 0 or x = 7. Only x = 7 checks in the original equation.",A common mistake is keeping x = 0 without checking for an extraneous solution after squaring.,radical_equation,extraneous_solution
M-057,Math,Advanced Math,Quadratic modeling,8,Word problem,,A rectangular garden has area 48 square feet. Its length is 2 feet greater than its width. What is the width of the garden?,4,6,8,10,90,1450+,original_sat_style,B,6,"Let the width be w, so the length is w + 2. Then w(w + 2) = 48, so w^2 + 2w - 48 = 0. Factor: (w + 8)(w - 6) = 0, giving w = 6 or w = -8. Width must be positive, so the width is 6.",Choice A comes from using a sum of 48 instead of a product of 48.,quadratic_modeling,positive_constraint
M-058,Math,Advanced Math,Function composition,8,Multiple choice,,"If f(x) = 2x + 1 and g(x) = x^2, what is f(g(3))?",7,10,19,37,60,1450+,original_sat_style,C,19,First compute g(3) = 3^2 = 9. Then f(9) = 2(9) + 1 = 19.,Choice D can result from composing in the wrong order and computing g(f(3)).,function_composition,order_of_operations
M-059,Math,Advanced Math,Equivalent expressions,7,Multiple choice,,Which expression is equivalent to (x^2 - 9)/(x - 3) for x ≠ 3?,x - 6,x + 3,x^2 - 3,x + 6,60,1450+,original_sat_style,B,x + 3,"Factor the numerator: x^2 - 9 = (x - 3)(x + 3). For x ≠ 3, the expression simplifies to x + 3.",Choice A comes from subtracting instead of factoring the difference of squares correctly.,rational_simplification,factoring
M-060,Math,Advanced Math,Exponential equation,8,Multiple choice,,"If 2^(x+1) = 32, what is the value of x?",3,4,5,6,45,1450+,original_sat_style,B,4,"Since 32 = 2^5, set x + 1 = 5. Therefore x = 4.",Choice C comes from matching x directly to the exponent on 32 without accounting for +1.,exponent_rules,solving_exponential
M-061,Math,Problem-Solving and Data Analysis,Mean,5,Multiple choice,,"The average of five numbers is 18. If four of the numbers are 12, 17, 19, and 21, what is the fifth number?",15,18,21,31,60,1450+,original_sat_style,C,21,"If the average of five numbers is 18, their total is 5 × 18 = 90. The four known numbers sum to 69, so the fifth number is 90 - 69 = 21.",Choice D can come from adding instead of subtracting.,mean,arithmetic
M-062,Math,Problem-Solving and Data Analysis,Probability,6,Multiple choice,,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. If one marble is chosen at random, what is the probability that it is blue?",3/10,1/3,3/8,2/5,45,1450+,original_sat_style,A,3/10,"There are 10 marbles total, and 3 of them are blue, so the probability is 3/10.",Choice C uses the blue marbles over only red-plus-blue marbles instead of all marbles.,probability,sample_space
M-063,Math,Problem-Solving and Data Analysis,Ratios,6,Multiple choice,,"In a recipe, the ratio of cups of flour to cups of sugar is 5:2. If the recipe uses 15 cups of flour, how many cups of sugar does it use?",5,6,7.5,10,45,1450+,original_sat_style,B,6,"If 5 parts of flour correspond to 15 cups, then each part is 3 cups. Sugar is 2 parts, so 2 × 3 = 6 cups.",Choice A treats the ratio numbers as direct amounts without scaling.,ratios,proportions
M-064,Math,Problem-Solving and Data Analysis,Percent increase,6,Multiple choice,,A jacket's price increased from $80 to $92. What was the percent increase?,12%,15%,18%,20%,60,1450+,original_sat_style,B,15%,The increase was $12. Percent increase = 12/80 = 0.15 = 15%.,Choice A comes from dividing by the new price instead of the original price.,percent_change,baseline
M-065,Math,Problem-Solving and Data Analysis,Scatterplot interpretation,8,Multiple choice,,"A scatterplot of hours studied and test score shows a clear upward trend, but the points are widely spread around the line of best fit. Which statement is best supported by this description?",Students who study more always earn the same score increase.,"There is a positive association between study time and score, but the relationship is not perfectly precise.",There is no relationship between study time and score.,The graph proves that studying is the only cause of higher scores.,60,1450+,original_sat_style,B,"There is a positive association between study time and score, but the relationship is not perfectly precise.","An upward trend indicates positive association, while wide spread means the relationship has variability and is not exact.",Choice D confuses association with proof of causation.,scatterplot_interpretation,association_vs_causation
M-066,Math,Problem-Solving and Data Analysis,Conditional probability,8,Multiple choice,,"In a class, 18 students play a sport, 12 students play an instrument, and 7 students do both. If one student is selected at random from the 18 students who play a sport, what is the probability that the student also plays an instrument?",7/30,7/18,7/12,11/18,75,1450+,original_sat_style,B,7/18,"The condition limits the sample space to the 18 students who play a sport. Of those, 7 also play an instrument, so the probability is 7/18.",Choice A incorrectly uses the total of 30 rather than the conditioned group of 18.,conditional_probability,given_that
M-067,Math,Problem-Solving and Data Analysis,Weighted average,8,Multiple choice,,A student scored 82 on a quiz worth 20% of the course grade and 94 on a project worth 30% of the course grade. What average on the remaining 50% is needed to earn an overall course average of 90?,88.0,89.6,90.8,92.0,90,1450+,original_sat_style,C,90.8,"Set up the weighted average: 0.2(82) + 0.3(94) + 0.5x = 90. This gives 16.4 + 28.2 + 0.5x = 90, so 0.5x = 45.4 and x = 90.8.",Choice D comes from rounding too early or mishandling the weighted parts.,weighted_average,equation_setup
M-068,Math,Problem-Solving and Data Analysis,Percent of percent,7,Multiple choice,,A charity received a donation that was 25% larger than last year's donation of $640. What was the new donation amount?,$720,$760,$800,$840,45,1450+,original_sat_style,C,$800,"Twenty-five percent of 640 is 160, so the new donation is 640 + 160 = 800.",Choice B comes from adding only 120 instead of 160.,percent_increase,base_amount
M-069,Math,Problem-Solving and Data Analysis,Sampling methods,8,Multiple choice,,A student wants to estimate the average number of hours students at a school spend on homework each night. Which method is most likely to produce a biased sample?,Surveying every tenth student entering the school library before classes,Surveying students in one advanced placement study hall only,Randomly selecting student ID numbers from the full school roster,Surveying students from each grade level in proportion to enrollment,60,1450+,original_sat_style,B,Surveying students in one advanced placement study hall only,Students in one advanced placement study hall are not representative of the whole school and likely spend different amounts of time on homework than average.,"Choice A may have limitations, but it is still more representative than sampling only one specialized group.",sampling_bias,representativeness
M-070,Math,Problem-Solving and Data Analysis,Median / outliers,7,Multiple choice,,"The median of the set {4, 6, 8, 10, 12} is 8. If 100 is added to the set, what is the new median?",8,9,10,12,60,1450+,original_sat_style,B,9,"The new ordered set is {4, 6, 8, 10, 12, 100}. With six numbers, the median is the average of the two middle values: (8 + 10)/2 = 9.",Choice A would be the original median and ignores the need to average the two middle values in an even-sized set.,median,outlier_effect
M-071,Math,Geometry and Trigonometry,Similar triangles,7,Multiple choice,,"Two similar triangles have corresponding side lengths in the ratio 3:5. If the shorter triangle has a side of length 12, what is the corresponding side length of the larger triangle?",15,18,20,24,45,1450+,original_sat_style,C,20,"If the scale factor from the shorter to the larger triangle is 5/3, then the corresponding side is 12 × 5/3 = 20.",Choice D can result from adding 12 and 8 instead of scaling proportionally.,similar_triangles,scale_factor
M-072,Math,Geometry and Trigonometry,Circle circumference,6,Multiple choice,,A circle has radius 7. What is its circumference?,14π,28π,49π,98π,45,1450+,original_sat_style,B,28π,"Circumference is 2πr. With r = 7, the circumference is 2π(7) = 28π.",Choice A forgets the factor of 2.,circle_formulas,circumference
M-073,Math,Geometry and Trigonometry,Right-triangle trigonometry,8,Multiple choice,,"In a right triangle, one acute angle θ has opposite side length 9 and hypotenuse 15. What is sin θ?",3/5,5/3,9/24,15/9,45,1450+,original_sat_style,A,3/5,"By definition, sin θ = opposite/hypotenuse = 9/15 = 3/5.","Choice B reverses the ratio and is greater than 1, which cannot be the sine of an acute angle.",trig_ratio,definition
M-074,Math,Geometry and Trigonometry,Area,6,Multiple choice,,What is the area of a rectangle with length 13 and width 8?,21,42,104,168,30,1450+,original_sat_style,C,104,Area of a rectangle = length × width = 13 × 8 = 104.,Choice D comes from doubling the product unnecessarily.,area,formula_use
M-075,Math,Geometry and Trigonometry,Distance formula,8,Multiple choice,,"What is the distance between the points (-1, 2) and (5, 10)?",10,8,√10,√100,75,1450+,original_sat_style,A,10,Use the distance formula: √[(5 - (-1))^2 + (10 - 2)^2] = √(6^2 + 8^2) = √100 = 10.,Choice B adds the coordinate differences incorrectly without using the formula.,distance_formula,coordinate_geometry
M-076,Math,Geometry and Trigonometry,Arc measure,7,Multiple choice,,"In a circle, a central angle measures 72°. What fraction of the circle's circumference is intercepted by the angle's arc?",1/10,1/5,2/5,4/5,45,1450+,original_sat_style,B,1/5,The fraction of the circumference is 72/360 = 1/5.,Choice C comes from dividing by 180 instead of 360.,arc_measure,fraction_of_circle
M-077,Math,Geometry and Trigonometry,Volume,7,Multiple choice,,A cylinder has radius 3 and height 10. What is its volume?,30π,60π,90π,300π,45,1450+,original_sat_style,C,90π,Volume of a cylinder is πr^2h = π(3^2)(10) = 90π.,Choice B forgets to square the radius.,volume,cylinder
M-078,Math,Geometry and Trigonometry,Perpendicular lines,8,Multiple choice,,A line has slope 4/3. What is the slope of a line perpendicular to it?,-4/3,3/4,-3/4,4/3,45,1450+,original_sat_style,C,-3/4,"Perpendicular slopes are negative reciprocals, so the slope is -3/4.",Choice A changes only the sign without taking the reciprocal.,perpendicular_slope,negative_reciprocal
M-079,Math,Geometry and Trigonometry,Angle relationships,7,Multiple choice,,Two supplementary angles are in the ratio 2:7. What is the measure of the smaller angle?,20°,30°,40°,50°,60,1450+,original_sat_style,C,40°,"Supplementary angles sum to 180°. The ratio parts total 9, so each part is 20°. The smaller angle is 2 × 20° = 40°.",Choice A comes from using one part instead of two parts.,angle_relationships,ratios
M-080,Math,Geometry and Trigonometry,Triangle angle sum,6,Multiple choice,,"In triangle ABC, angle A = 48° and angle B = 67°. What is the measure of angle C?",65°,75°,95°,115°,30,1450+,original_sat_style,A,65°,"The interior angles of a triangle sum to 180°, so angle C = 180 - 48 - 67 = 65°.",Choice B results from subtracting only one of the known angles.,triangle_sum,basic_geometry
